n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
30,2,3,2,498,250.0,0.04218079081392966,0.03589528132636751,2.318025554136077,1.9404407354934268,1.0,0.6537080939888807,-0.7991335021215493,-4.266800882482919,-0.01652935622133922
40,9,84,2,360,46.55555555555556,0.04155533038845412,0.015747548164821417,7.212390691276532,6.462998587345146,0.8888888888888888,0.5052653395528451,-4.011823389660597,-4.523985993977168,-0.03402400701320521
50,42,298,2,34,4.880952380952381,0.10601705623129735,-0.047155672073651095,4.395993399269359,3.11808844931772,0.830952380952381,0.37756628057832264,-5.261163128723011,-6.274067882893389,-0.12213372239032767
60,6,63,2,376,73.33333333333333,0.040550516698866154,0.02401947066371201,11.421265254812438,9.580468487593434,0.8166666666666667,0.5924397129159669,-3.3082922566291786,-3.439949870050526,-0.005157335237315208
70,5,58,2,384,89.0,0.07589753794478636,0.05660066609871786,13.701980928142074,11.118194014562102,0.82,0.6455849436975682,-2.623211202879749,-2.8631753511226776,0.022146484072341217
80,6,72,2,374,71.83333333333333,0.08009595900814305,0.053810907955683544,10.806317499891993,9.074858559225971,0.8,0.5433946882833144,-4.393527556096195,-5.0641956760556175,-0.07333881197722035
90,4,40,4,415,115.75,0.12430566466602462,0.0918833565089866,15.036221924418623,12.02480117113531,0.7,0.5783418694663734,-3.66799540365251,-4.620501455562685,-0.06947457147303948
100,5,68,5,383,87.0,0.09347598166304723,0.06419471914495661,12.495210300443741,10.240600747738595,0.84,0.6215352613569645,-2.8383820803077007,-3.6277146634460626,-0.011958346179676855
110,5,77,3,376,85.2,0.0939735446945364,0.0602297957916031,12.191514777749124,9.992070448805606,0.84,0.6121914792501061,-2.7769563119685046,-3.63212318306349,-0.010995514190612288
120,4,41,3,419,115.5,0.12269235370340502,0.0949877741876734,13.774797426293613,11.600247092945017,0.8,0.5736487579699632,-2.7906650522694276,-3.8981963226685545,-0.045998628622675085
130,5,74,3,380,85.8,0.0943407380151166,0.06187459662524365,11.916003272605673,9.796126384302477,0.84,0.5906965839189978,-3.0308162734331274,-3.929195872042432,-0.019182968948437885
140,4,68,4,388,108.75,0.10153394314307032,0.06998788057327195,14.95739284513338,11.76922184365293,0.8,0.6665904077334738,-1.091250383340797,-3.039148107210597,0.011509869065015785
150,5,71,2,387,86.4,0.09675835040975657,0.06368377957867241,11.188165898456125,9.473707361995908,0.86,0.5755182917257217,-2.9487638754687717,-3.549901969131239,-0.0013101514651713692
160,4,67,4,388,109.0,0.10227771858733044,0.07108850088372673,15.415409089689884,12.024471546639388,0.8,0.6792493440528184,-1.4872377309122577,-2.4925676152204903,0.03940233108537658
