n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
28,30,28,0,5,37,17.964285714285715,0.030194016313863658,0.030194016313863658,6.777476747138092,6.777476747138092,0.5814814814814815,0.5691986092104229,-2.3908730531349383,-2.97892279345612,-0.004164561618922313
28,40,28,0,6,41,17.964285714285715,0.039599458601509735,0.039599458601509735,6.81821714682462,6.81821714682462,0.6148148148148148,0.5444819683775608,-3.2057614136670005,-3.4491386419735597,-0.025408188511133595
28,50,28,0,5,35,17.964285714285715,0.03183426072674517,0.03183426072674517,6.724718770440466,6.724718770440466,0.5851851851851851,0.5398061112271395,-2.5369169104950666,-3.7640659813594652,-0.03936680177383186
28,60,28,0,4,41,17.964285714285715,0.02606981293095241,0.02606981293095241,6.722219920941142,6.722219920941142,0.6185185185185185,0.5318353372827486,-2.557559182395544,-3.5922371955526615,-0.027133217766616657
28,70,28,0,6,45,17.964285714285715,0.030800915106620006,0.030800915106620006,6.616602965199441,6.616602965199441,0.6296296296296297,0.5291570192364905,-4.000047739973407,-4.434234531383536,-0.070203534713683
28,80,28,0,4,44,17.964285714285715,0.04088504262868418,0.04088504262868418,6.743980890637636,6.743980890637636,0.674074074074074,0.5197062824529053,-4.302206682420285,-4.200984418520152,-0.05113806322819465
28,90,28,0,6,37,17.964285714285715,0.03913166547308542,0.03913166547308542,6.729008989395811,6.729008989395811,0.6555555555555556,0.5372431898141812,-3.2638032983227325,-3.408512790378169,-0.02283498432157463
28,100,28,0,4,39,17.964285714285715,0.0309605596947326,0.0309605596947326,6.664636411462305,6.664636411462305,0.6296296296296297,0.5347620107340292,-3.279165571084668,-3.4613265123180468,-0.03166500907452668
28,110,28,0,1,41,17.964285714285715,0.022811268603380955,0.022811268603380955,6.523654265276961,6.523654265276961,0.5888888888888889,0.5830339375802347,-2.354982749639581,-2.4602195001608402,0.020435294665742964
28,120,28,0,1,38,17.964285714285715,0.03055559078530336,0.03055559078530336,6.620977383959035,6.620977383959035,0.5888888888888889,0.5644537322776187,-2.867710504299808,-3.1443506123545633,-0.011856894259906905
28,130,28,0,2,32,17.964285714285715,0.027581014596731505,0.027581014596731505,6.529146484708346,6.529146484708346,0.6037037037037037,0.5590795749272162,-2.659834285208336,-3.262495192673533,-0.018272551798586896
28,140,28,0,4,36,17.964285714285715,0.03253341043676873,0.03253341043676873,6.588323361050758,6.588323361050758,0.6296296296296297,0.5605792783405201,-2.739075106599666,-3.4065403845951945,-0.023337156888657923
28,150,28,0,5,59,17.964285714285715,0.023623603148636235,0.023623603148636235,6.431315269173935,6.431315269173935,0.6074074074074074,0.5207230576176121,-3.3503027909359795,-3.7968762153279934,-0.040457488182685485
28,160,28,0,2,38,17.964285714285715,0.031237921700619977,0.031237921700619977,6.576770612480162,6.576770612480162,0.6407407407407407,0.539410220873104,-3.275750453054726,-3.533055372686079,-0.027191653610737557
