n_neighbors,n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
5,5,79,61,2,18,5.594936708860759,0.03894313113750443,0.01860279847267401,3.685466941967277,3.4649438201635587,0.8063291139240506,0.364370088638925,-8.187752566167322,-7.329346775385582,-0.17564967268691845
5,10,77,65,2,22,5.688311688311688,0.03454093738522175,0.011039910867357594,3.639760973166509,3.3777421470383606,0.8090909090909091,0.3667880524493825,-8.204905758161035,-7.303678414457435,-0.17314798628292255
5,15,75,63,2,22,5.866666666666666,0.026624092114314938,0.005514935609291255,3.6680451149731415,3.4357088710360095,0.8066666666666666,0.35398287101562675,-7.5860467787861685,-7.235438786570014,-0.169534742142973
5,20,69,65,2,42,6.3478260869565215,0.042777747927813164,0.02168465858627043,3.856239140719514,3.649097441135332,0.8144927536231884,0.36138568097210644,-7.1394926739402305,-6.970984629637284,-0.15878688374894365
5,25,83,73,2,15,5.180722891566265,0.037017131912225665,0.010999406936298828,3.5205406189371473,3.253020739167077,0.8120481927710843,0.34613940575865254,-8.272010239145965,-7.429744727132311,-0.17942988234137608
5,30,69,74,2,22,6.217391304347826,0.03178085012642178,0.00683166256486441,3.809757469250312,3.5310464924425684,0.8014492753623188,0.37699293954036805,-7.343581809177671,-6.940899492799474,-0.15705346238983434
5,35,71,62,2,42,6.211267605633803,0.040944331691105715,0.020092946338771282,3.7762580207230076,3.5790726922300156,0.8183098591549296,0.37531711978367394,-7.647750504430064,-7.159673984726648,-0.16762215940558953
5,40,73,79,2,20,5.808219178082192,0.03526552667990709,0.005643243170815703,3.6663231754056076,3.366787610855425,0.8,0.3676701018201232,-7.7080075771937615,-7.206460694768854,-0.17072428155958388
5,45,73,84,2,21,5.739726027397261,0.031897429254833645,0.004782876054256515,3.688416581681646,3.4212190032008962,0.8205479452054795,0.3517569284030971,-8.048439316584249,-7.387156865654585,-0.17859614129266227
5,50,69,69,2,42,6.2898550724637685,0.04107489647144194,0.019043413024712137,3.800567380888444,3.6007505577260126,0.8144927536231884,0.3569612406932619,-7.942026195435795,-7.299283580939232,-0.1756170504021406
