n_neighbors,n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
5,5,89,75,2,14,4.808988764044944,0.0571118389515164,0.017067701316655606,4.5068734684693945,3.9547193792690702,0.8337078651685393,0.3447179127162718,-7.553870756296993,-7.1231191591774135,-0.15952862679583052
5,10,86,59,2,17,5.162790697674419,0.04856717058130572,0.018526390191150505,4.456200127492412,4.060282364543779,0.8209302325581396,0.3655786125974026,-7.677548489722277,-7.181799283168267,-0.16515014420314564
5,15,79,54,2,22,5.6835443037974684,0.05925497950748745,0.03282955845249597,4.781968269884692,4.41928137148795,0.8291139240506329,0.35922383617389675,-7.585143712450482,-6.9886498033727,-0.15663911535147002
5,20,82,72,2,14,5.2560975609756095,0.05695774741285106,0.019538720915990678,4.666638422382675,4.160497359085554,0.8390243902439024,0.3681439485561295,-7.773626439124042,-7.083303386132689,-0.15981758914698974
5,25,73,58,2,42,6.095890410958904,0.04808909961986664,0.02007802818492721,4.730687780951185,4.403237792283392,0.8123287671232877,0.36075764544424627,-7.389102289391481,-6.8895912894565665,-0.15407892482483873
5,30,81,68,2,14,5.37037037037037,0.0509504202764574,0.01360848172971956,4.679042156183869,4.089318311344567,0.8197530864197531,0.348215908075593,-7.604022026402187,-7.2516311829227815,-0.17115902653608187
5,35,76,58,2,26,5.855263157894737,0.04920779307516908,0.021866345852493634,4.656338068677517,4.385062204867079,0.8328947368421052,0.36369532898933465,-7.480143659604148,-6.943882819691755,-0.15394152835784022
5,40,79,55,2,19,5.670886075949367,0.054605765283222994,0.028272085873784818,4.782884910705427,4.397344573625955,0.8202531645569621,0.3637393032046916,-7.564813582692855,-7.000391736099155,-0.15880014189745595
5,45,74,76,2,25,5.77027027027027,0.057072650487062886,0.02025831399618328,4.864139664042958,4.412635281856358,0.8175675675675675,0.38301508077107216,-6.880691457886691,-6.52265244120367,-0.1353685824455326
5,50,77,73,2,18,5.584415584415584,0.05748920496807949,0.01971011532545538,4.768422778525587,4.25085485441821,0.8155844155844156,0.36173745168208626,-7.324333729495013,-6.921144519361755,-0.1557636330455521
5,55,84,73,2,17,5.119047619047619,0.05759525537283435,0.01985953462638311,4.614062671808841,4.121199162985048,0.8261904761904761,0.35950195449643474,-7.871321278483346,-7.063389040905816,-0.16171354986513484
5,60,82,63,2,19,5.365853658536586,0.052931921613763,0.020395477424112688,4.591179723025464,4.177984935757589,0.8256097560975609,0.35664690305812546,-7.432081847585924,-6.993277033145776,-0.15668508986641788
5,65,77,65,2,27,5.688311688311688,0.060006689216920914,0.028909470830069863,4.755170490650321,4.364178074962133,0.8311688311688312,0.3440222939361832,-7.773402549634828,-7.036614332585783,-0.15872579338637158
5,70,81,75,2,17,5.283950617283951,0.06420735587849337,0.026097191201253988,4.6670265704883045,4.20039885181828,0.8222222222222222,0.3515758285764959,-7.453336914155537,-7.000692265866036,-0.1570940348662563
5,75,80,73,2,19,5.375,0.04474779894948464,0.006343617192485288,4.473993533339724,3.9704923387079245,0.81875,0.3632346130379046,-7.575569422315569,-7.106172972261651,-0.16387701498280655
5,80,74,56,2,30,6.04054054054054,0.05553597101589877,0.026799995602969695,4.889628947240995,4.439857028150958,0.8175675675675675,0.36321714182746734,-7.488840527246499,-6.919307780040019,-0.15459050820279674
10,5,75,97,2,22,5.413333333333333,0.057170049370969714,0.009751503739207738,4.809454756854413,4.2607105897649165,0.8306666666666667,0.35760451697572904,-7.324606300646384,-6.998949430679319,-0.15508111873387662
10,10,79,73,2,23,5.443037974683544,0.05811482833673618,0.02364095764256115,4.786943940578658,4.365695374498305,0.8329113924050633,0.37162890585637126,-7.727568097293278,-6.899222295492933,-0.15434502329621808
10,15,71,95,2,31,5.746478873239437,0.0636745851585543,0.016465106312895595,5.038057066092127,4.370190897249726,0.8380281690140845,0.38960552156429895,-7.307192357179967,-6.964851613864111,-0.1529735088418871
10,20,65,87,2,21,6.4,0.0683388525318409,0.027183028533842465,5.323764108921062,4.797926190782712,0.8061538461538461,0.3759185405215088,-7.565948310217448,-6.674310482217142,-0.14610060145890533
10,25,62,77,2,36,6.870967741935484,0.05885742657628112,0.019672350347009943,5.211915339446438,4.642764631966189,0.8048387096774193,0.388661489627565,-7.358340663876535,-6.551320660514373,-0.13971486635077665
10,30,66,91,2,35,6.242424242424242,0.055157001745340724,0.011476276456005649,5.094085863403498,4.517432985913128,0.8166666666666667,0.36049900220314607,-7.462049921181777,-7.071837139912748,-0.1607557041661461
10,35,73,103,2,19,5.47945205479452,0.06507844097703058,0.011891380214437008,4.912912415344317,4.183242037900723,0.8273972602739726,0.3786253162481119,-7.6588387996454586,-7.159824945396866,-0.1619942001673365
10,40,69,108,2,17,5.72463768115942,0.07191225734783084,0.015615174298531547,5.066738635823807,4.309646469806914,0.8318840579710145,0.3817438404829039,-7.077751676334574,-6.735147261579465,-0.14524166544518546
10,45,71,97,2,22,5.71830985915493,0.05813851025329909,0.01071987112303597,4.932555467612682,4.3396546481727105,0.828169014084507,0.36765255817005466,-7.85775490458221,-7.076695947945788,-0.1613196921583745
10,50,68,79,2,21,6.235294117647059,0.06009171602925355,0.022017873616625373,5.11004735398787,4.614110123624958,0.8191176470588235,0.3732315137933398,-7.6248954167399425,-6.778854248048405,-0.14930565008737953
10,55,70,95,2,19,5.828571428571428,0.06871245519177296,0.02099008464500143,5.126813320395023,4.44774731272787,0.8142857142857143,0.3735080155663195,-7.571638443142686,-6.967736922600918,-0.15908539178470954
10,60,72,111,2,16,5.444444444444445,0.06634313102137607,0.009372498795933742,4.83936815573041,4.136368021019409,0.8152777777777778,0.36216001274992876,-7.519318564631356,-6.954323207161161,-0.15684672564452362
10,65,63,74,2,35,6.809523809523809,0.0582613985161511,0.02295553752993656,5.277185057536797,4.772074796791171,0.8031746031746032,0.3820474562487077,-6.869314157694859,-6.516555125923778,-0.13854611453324717
10,70,61,73,2,35,7.049180327868853,0.0553964027040901,0.022305039871189928,5.365626907681572,4.908410641625781,0.8147540983606557,0.3833608709094112,-7.846298849040479,-6.830820706910567,-0.1554744107135466
10,75,63,88,2,20,6.587301587301587,0.06282110349340393,0.021721131942084138,5.324114343381432,4.749653817716647,0.8285714285714286,0.3734775005579878,-7.520142418442262,-6.835080074539896,-0.1516597779071778
10,80,73,95,2,17,5.589041095890411,0.05361225098927557,0.007778646568949945,4.730743954637068,4.154902888709754,0.826027397260274,0.3761780139530159,-7.570867794434651,-7.180570198091677,-0.16687464346104838
15,5,66,120,2,35,5.803030303030303,0.06534309756434004,0.006381423353766547,5.126860685257625,4.393357348117398,0.8196969696969697,0.3822173053300248,-7.173803957554618,-6.966878090117056,-0.1546493757697921
15,10,58,113,2,35,6.724137931034483,0.06386261185886796,0.008992165320460998,5.376800530003255,4.723778258207112,0.7879310344827586,0.39117743168934405,-7.1399280804590735,-6.605268398010157,-0.14520256959445874
15,15,60,101,2,35,6.7,0.059635293710420284,0.010644883810632636,5.24845106193153,4.612399901648514,0.8183333333333334,0.3908320890321858,-7.0797213386038935,-6.685613497689093,-0.14714002177003113
15,20,52,117,2,55,7.423076923076923,0.04451701794396878,-0.007619001364095556,5.3348210953385,4.712076050250722,0.8115384615384615,0.4082643432629803,-5.905654915865152,-5.983074882403922,-0.11180349497687285
15,25,56,118,2,35,6.875,0.0623332632256811,0.009041171462534702,5.4358310364364195,4.793520591587093,0.8267857142857142,0.39346776415684154,-7.575867073991641,-6.669406579134608,-0.14458083168984434
15,30,55,93,2,35,7.454545454545454,0.058907967277302596,0.01707309395895537,5.52126351716064,4.9663291800229254,0.8054545454545454,0.3892693574563807,-7.183587489852472,-6.490691433897978,-0.1380663400627259
15,35,61,128,2,35,6.147540983606557,0.05403029964151193,-0.0068989734864254235,4.839209045240349,4.25189385547388,0.8278688524590164,0.37251329260886645,-7.414846365215303,-6.899436001525763,-0.15426316948835983
15,40,61,114,2,35,6.377049180327869,0.06325127817243255,0.008928818354218356,5.231509832736805,4.578009653563445,0.8065573770491803,0.37850010532865463,-7.556806613502477,-6.706748106590834,-0.14560006336700845
15,45,57,88,2,35,7.280701754385965,0.04477840704806514,0.006785680773384178,5.367807729591986,4.8765325968238225,0.8140350877192982,0.40658927719339083,-7.074584195991385,-6.211923374070775,-0.12417735497035526
