20,The vulnerability in CWE 20 is the lack of input validation or incorrect input validation.,The method used in CWE 20 is to exploit the lack of input validation or incorrect input validation to manipulate the data being processed.,"The technical impact of CWE 20 is that the product may process the data incorrectly or unsafely, leading to security vulnerabilities or system crashes.","The security properties affected by CWE 20 are confidentiality, integrity, and availability.","The severity of CWE 20 can range from low to high, depending on the specific product and the potential impact of incorrect or unsafe data processing.",The likelihood of CWE 20 depends on the specific product and the level of input validation implemented.,The relevant assets for CWE 20 are any systems or data that rely on the product for safe and correct data processing.,The attack vector for CWE 20 is through the input or data being processed by the product.,The attacker type for CWE 20 can be anyone with access to the input or data being processed by the product.,"The attacker motive for CWE 20 can be to gain unauthorized access to sensitive data, disrupt system operations, or cause harm to the organization.","Relevant cyber controls and countermeasures for CWE 20 include implementing proper input validation, using secure coding practices, and regularly testing for vulnerabilities.","Detection methods for CWE 20 include monitoring for unusual or unexpected data processing, conducting regular vulnerability scans, and implementing intrusion detection systems."
22,The vulnerability in this CWE is the failure to properly neutralize special elements within a pathname constructed from external input.,The method used in this CWE is constructing a pathname that is intended to identify a file or directory located underneath a restricted parent directory.,"The technical impact of this CWE is that the constructed pathname can resolve to a location outside of the restricted directory, potentially allowing an attacker to access sensitive files or directories.",The security properties affected by this CWE include confidentiality and integrity.,"The severity of this CWE is high, as it can lead to unauthorized access to sensitive information.","The likelihood of this CWE occurring is also high, as it is a common mistake in programming.",The relevant assets for this CWE include any files or directories that are located underneath a restricted parent directory.,The attack vector for this CWE is through external input used to construct a pathname.,The attacker type for this CWE is typically a remote attacker.,The attacker's motive for exploiting this CWE is to gain unauthorized access to sensitive information.,"Relevant cyber controls and countermeasures for this CWE include input validation and sanitization, as well as proper access controls and permissions.",Detection methods for this CWE include monitoring for unusual file access patterns and auditing file access logs.
77,The vulnerability in this CWE is the failure to properly neutralize special elements in externally-influenced input that could modify the intended command.,The method used in this CWE is constructing a command using input from an upstream component without properly neutralizing special elements.,"The technical impact of this CWE is that it can allow an attacker to execute unintended commands on a downstream component, potentially leading to unauthorized access, data loss, or system compromise.","The security properties affected by this CWE include confidentiality, integrity, and availability.","The severity of this CWE can range from low to high, depending on the specific implementation and the potential impact of the unintended command execution.",The likelihood of this CWE depends on the specific implementation and the level of external input that is accepted by the product.,The relevant assets for this CWE include any downstream components that could be affected by unintended command execution.,The attack vector for this CWE is through externally-influenced input from an upstream component.,The attacker type for this CWE could be anyone with the ability to provide externally-influenced input to the product.,"The attacker motive for this CWE could be to gain unauthorized access, steal data, or disrupt system operations.","Relevant cyber controls and countermeasures for this CWE include input validation, command filtering, and proper neutralization of special elements.",Detection methods for this CWE include monitoring for unexpected or unauthorized command execution and analyzing input validation and command filtering mechanisms.
78,The vulnerability in this CWE is the failure to properly sanitize or neutralize special characters in externally-influenced input used to construct an OS command.,"The method used by attackers is to inject malicious input into the upstream component, which is then used to construct an OS command that is sent to a downstream component.",The technical impact of this vulnerability is that an attacker can execute arbitrary commands on the system with the privileges of the application or user running the command.,"The security properties affected by this vulnerability include confidentiality, integrity, and availability.","The severity of this vulnerability is high, as it can lead to complete compromise of the system.","The likelihood of this vulnerability being exploited is high, as it is a common mistake made by developers.",The relevant assets for this vulnerability include any system or application that constructs OS commands using externally-influenced input.,The attack vector for this vulnerability is through the upstream component that constructs the OS command.,The attacker type for this vulnerability is typically a remote attacker who can send malicious input to the upstream component.,The attacker's motive for exploiting this vulnerability is to gain unauthorized access to the system or to execute malicious commands.,"Relevant cyber controls and countermeasures include input validation and sanitization, as well as using parameterized queries or prepared statements to construct OS commands.","Detection methods include monitoring for unusual or unexpected OS commands being executed, as well as monitoring for suspicious input being sent to the upstream component."
79,The vulnerability in this CWE is the failure to properly neutralize user-controllable input before it is used in web page output.,The method used in this CWE is to exploit the vulnerability by injecting malicious code or scripts into the user-controllable input.,"The technical impact of this CWE is that it can lead to the execution of arbitrary code or scripts on the victim's machine, which can result in data theft, system compromise, or other malicious activities.","The security properties affected by this CWE include confidentiality, integrity, and availability.","The severity of this CWE is high, as it can lead to significant harm to the victim's system and data.","The likelihood of this CWE occurring is high, as it is a common vulnerability in web applications.",The relevant assets in this CWE include web applications that accept user input and generate web page output.,The attack vector for this CWE is through the user-controllable input fields in web applications.,The attacker type for this CWE is typically a malicious user or hacker.,"The attacker's motive for exploiting this CWE is to gain unauthorized access to sensitive data, compromise the victim's system, or carry out other malicious activities.","Relevant cyber controls and countermeasures for this CWE include input validation, output encoding, and secure coding practices.","Detection methods for this CWE include vulnerability scanning, penetration testing, and code review."
89,The vulnerability in this CWE is the lack of proper input validation and sanitization when constructing SQL commands using externally-influenced input.,"The method used by attackers is to inject malicious SQL code into the input fields of the application, which is then executed by the database server.","The technical impact of this vulnerability is that attackers can execute arbitrary SQL commands on the database server, which can result in data theft, data manipulation, and even complete system compromise.","The security properties affected by this vulnerability are confidentiality, integrity, and availability.","The severity of this vulnerability is high, as it can lead to significant data loss or system compromise.","The likelihood of this vulnerability being exploited is high, as it is a common attack vector for SQL injection attacks.",The relevant assets for this vulnerability are databases and the data stored within them.,The attack vector for this vulnerability is through the input fields of the application.,The attacker type for this vulnerability is typically a malicious user or an automated script.,The attacker's motive for exploiting this vulnerability is to gain unauthorized access to sensitive data or to disrupt the system's operations.,"The relevant cyber controls/countermeasures for this vulnerability include input validation and sanitization, parameterized queries, and database access controls.",The detection methods for this vulnerability include monitoring for suspicious SQL queries and implementing intrusion detection systems.
94,The vulnerability in this CWE is the failure to properly neutralize special elements in externally-influenced input that could modify the syntax or behavior of the intended code segment.,The method used in this CWE involves constructing all or part of a code segment using externally-influenced input from an upstream component.,"The technical impact of this CWE is that it can lead to unintended behavior or execution of code, which can result in a variety of consequences such as data corruption, denial of service, or unauthorized access.","The security properties affected by this CWE include confidentiality, integrity, and availability.",The severity of this CWE can range from low to high depending on the specific implementation and the potential impact of the unintended behavior or execution of code.,The likelihood of this CWE occurring depends on the specific implementation and the level of exposure to externally-influenced input.,The relevant assets for this CWE include any system or application that constructs code segments using externally-influenced input.,The attack vector for this CWE involves sending specially crafted input to the system or application that constructs code segments.,"The attacker type for this CWE can vary, but typically includes malicious actors seeking to exploit vulnerabilities in the system or application.","The attacker motive for this CWE can vary, but typically includes gaining unauthorized access, stealing sensitive data, or causing disruption to the system or application.","Relevant cyber controls and countermeasures for this CWE include input validation, output encoding, and secure coding practices.","Detection methods for this CWE include monitoring for unexpected behavior or execution of code, as well as implementing logging and auditing mechanisms to track input and output."
119,The vulnerability is that the product performs operations on a memory buffer that can read from or write to a memory location outside of the intended boundary of the buffer.,The method used is to exploit the vulnerability by accessing memory locations outside of the intended boundary of the buffer.,"The technical impact is that the attacker can cause the product to crash, execute arbitrary code, or disclose sensitive information.","The security properties affected are confidentiality, integrity, and availability.","The severity of this threat is high because it can lead to system crashes, data corruption, and unauthorized access to sensitive information.",The likelihood of this threat is high because it is a common programming error.,The relevant assets are the memory buffer and the data stored in it.,The attack vector is through the product's memory buffer.,The attacker can be anyone with access to the product.,"The attacker's motive can be to gain unauthorized access to sensitive information, cause system crashes, or execute arbitrary code.","The relevant cyber controls/countermeasures are to use secure coding practices, input validation, and boundary checks.",The detection methods are to use code analysis tools and monitor system logs for unusual activity.
125,The vulnerability in CWE 125 is caused by the product reading data beyond the intended buffer.,The method used in CWE 125 is to read data past the end or before the beginning of the intended buffer.,"The technical impact of CWE 125 is that it can cause the product to crash, execute arbitrary code, or disclose sensitive information.","The security properties affected by CWE 125 are confidentiality, integrity, and availability.",The severity of CWE 125 is high as it can lead to a complete compromise of the system.,The likelihood of CWE 125 occurring is high as it is a common programming error.,The relevant assets for CWE 125 are any system or application that reads data from a buffer.,The attack vector for CWE 125 is through a malicious input that causes the product to read data beyond the intended buffer.,The attacker type for CWE 125 is a remote attacker who can send malicious input to the system.,The attacker motive for CWE 125 is to gain unauthorized access to sensitive information or to disrupt the system.,"The relevant cyber controls/countermeasures for CWE 125 are input validation, boundary checking, and error handling.","The detection methods for CWE 125 are code review, static analysis, and dynamic analysis."
190,The vulnerability in CWE 190 is an integer overflow or wraparound that occurs when the product performs a calculation that assumes the resulting value will always be larger than the original value.,"The method used to exploit this vulnerability is to input a value that causes the integer overflow or wraparound, which can introduce other weaknesses when the calculation is used for resource management or execution control.","The technical impact of this vulnerability is that it can cause the product to behave unexpectedly or crash, potentially leading to a denial of service or other security issues.","The security properties affected by this vulnerability include confidentiality, integrity, and availability.","The severity of this vulnerability depends on the specific context in which it occurs, but it can be high if it leads to a denial of service or other security issues.",The likelihood of this vulnerability occurring depends on the specific implementation of the product and the inputs it receives.,The relevant assets for this vulnerability include any systems or data that are processed or managed by the product.,The attack vector for this vulnerability is through input values that cause the integer overflow or wraparound.,The attacker type for this vulnerability could be anyone with access to the product and the ability to input values that cause the integer overflow or wraparound.,The attacker motive for exploiting this vulnerability could be to disrupt the availability of the product or to gain unauthorized access to sensitive data.,"Relevant cyber controls and countermeasures for this vulnerability include input validation and boundary checking to prevent integer overflows or wraparounds, as well as monitoring and logging to detect and respond to any attacks that do occur.","Detection methods for this vulnerability include monitoring for unexpected behavior or crashes in the product, as well as analyzing input values for potential integer overflows or wraparounds."
