Input Validation,The product does not validate or incorrectly validates input data,The product may process the data unsafely or incorrectly,"Confidentiality, Integrity, Availability",High,High,Any asset that receives input or data,"Input fields, APIs, network traffic","External attackers, insiders","Data theft, system disruption, financial gain","Input validation, data sanitization, error handling, access control","Log analysis, anomaly detection, intrusion detection",20
Improper Restriction of Pathname to a Restricted Directory ('Path Traversal'),"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.","The technical impact of this vulnerability is that an attacker can access files or directories outside of the restricted parent directory, potentially leading to unauthorized access, modification, or deletion of sensitive data.","['Confidentiality', 'Integrity', 'Availability']",High,High,"['File systems', 'Directories', 'Sensitive data']","['Input validation', 'File system manipulation']","['External attacker', 'Internal attacker']","['Financial gain', 'Espionage', 'Sabotage']","['Input validation', 'File system permissions', 'Access controls']","['File system monitoring', 'Log analysis']",22
Command Injection,Constructing a command using externally-influenced input without proper sanitization,Execution of unintended commands or code on the downstream component,"Confidentiality, Integrity, Availability",High,High,Any system or application that accepts user input to construct commands,"Input fields, APIs, network protocols","External attackers, insiders","Data theft, system disruption, espionage","Input validation and sanitization, command whitelisting, least privilege access control","Log analysis, anomaly detection, intrusion detection systems",77
Command Injection,Constructing OS commands using externally-influenced input without proper sanitization,"Execution of unintended OS commands with potentially harmful consequences, such as data theft, system compromise, or denial of service","Confidentiality, Integrity, Availability",High,High,Systems that accept user input to construct OS commands,"Input fields, APIs, command-line interfaces","External attackers, insiders","Data theft, system compromise, sabotage","Input validation and sanitization, parameterized queries, least privilege, network segmentation, intrusion detection and prevention systems","Log analysis, anomaly detection, network traffic analysis",78
Failure to neutralize user-controllable input,Incorrectly placing user input in web page output,Execution of malicious code on other users' systems,"['Confidentiality', 'Integrity', 'Availability']",High,High,"['Web application', 'User data']","['Input fields', 'URL parameters', 'HTTP headers']","['External attacker', 'Malicious insider']","['Financial gain', 'Espionage', 'Hacktivism']","['Input validation', 'Output encoding', 'Web application firewall']","['Web application logs', 'Network traffic analysis']",79
SQL Injection,Constructing SQL commands using externally-influenced input without proper sanitization,"Unauthorized access to sensitive data, modification or deletion of data, and potentially complete compromise of the affected system","Confidentiality, integrity, and availability",High,High,"Databases, web applications, and any system that uses SQL commands","Input fields in web forms, HTTP headers, cookies, and other user-controlled input","External attackers, insiders, and automated bots","Financial gain, espionage, sabotage, and activism","Input validation and sanitization, parameterized queries, stored procedures, least privilege, and monitoring and logging","Manual code review, automated vulnerability scanners, and intrusion detection and prevention systems",89
Code Injection,Constructing code segment using externally-influenced input,"Execution of unintended code, unauthorized access to data or system resources, denial of service","Confidentiality, Integrity, Availability",High,High,"Software applications, systems, and networks","Input fields, APIs, network protocols","External attackers, insiders","Financial gain, espionage, sabotage","Input validation, output encoding, secure coding practices, network segmentation, access controls","Code review, penetration testing, intrusion detection and prevention systems",94
Buffer Overflow,Performing operations on a memory buffer that can read from or write to a memory location outside of the intended boundary,"Arbitrary code execution, Denial of Service, Information Disclosure","Confidentiality, Integrity, Availability",High,High,"Software applications, Operating systems, Network devices","Input validation, Memory allocation, Stack and heap overflows","Hackers, Malware authors, Insiders","Financial gain, Espionage, Sabotage","Input validation, Memory protection mechanisms, Code reviews, Penetration testing","Static and dynamic analysis, Fuzz testing, Intrusion detection systems",119
Buffer Overread,Reading data past the end or before the beginning of the intended buffer,"Information Disclosure, Denial of Service","Confidentiality, Availability",High,High,Data stored in the buffer,"Input validation, Memory allocation","External, Internal","Information theft, System disruption","Input validation, Bounds checking, Memory protection mechanisms","Static analysis, Dynamic analysis, Fuzz testing",125
Integer Overflow or Wraparound,Performing a calculation that assumes the resulting value will always be larger than the original value,Can introduce other weaknesses when the calculation is used for resource management or execution control,"['Confidentiality', 'Integrity', 'Availability']",High,High,"['Software applications', 'Hardware devices']","['Input validation', 'Boundary checking']","['Malicious actors', 'Insiders']","['Financial gain', 'Espionage', 'Disruption']","['Input validation', 'Boundary checking', 'Data sanitization']","['Code review', 'Static analysis', 'Dynamic analysis']",190
Improper file permission settings during installation,Setting file permissions to allow anyone to modify installed files,"Allows unauthorized modification of installed files, potentially leading to system compromise or data loss","['Confidentiality', 'Integrity', 'Availability']",High,High,"['Installed software', 'System files']","['Local installation', 'Remote installation']","['Insider', 'External']","['Data theft', 'System compromise', 'Sabotage']","['Proper file permission settings', 'Regular vulnerability scanning']","['File integrity monitoring', 'Log analysis']",276
