Input Validation,The product does not validate or incorrectly validates input data,"The technical impact of this vulnerability is that it can lead to various attacks such as buffer overflow, SQL injection, and cross-site scripting (XSS) attacks.","The security properties affected by this vulnerability are confidentiality, integrity, and availability.",The severity of this vulnerability is high as it can lead to various attacks that can compromise the security of the system.,The likelihood of this vulnerability being exploited is high as attackers can easily identify and exploit this vulnerability.,The relevant assets affected by this vulnerability are the system and the data stored in it.,The attack vector for this vulnerability is through the input fields of the product.,"The attacker types for this vulnerability are hackers, malicious insiders, and script kiddies.","The attacker motives for exploiting this vulnerability are financial gain, stealing sensitive information, and causing disruption.","The relevant cyber controls/countermeasures for this vulnerability are implementing input validation checks, using parameterized queries, and using web application firewalls (WAFs).",The detection methods for this vulnerability are using automated tools to scan for vulnerabilities and conducting manual code reviews to identify input validation issues.,20
The vulnerability is that the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.,The method used is constructing a pathname using external input.,"The technical impact is that an attacker can access files or directories outside of the restricted parent directory, potentially leading to unauthorized access, modification, or deletion of sensitive data.","The security properties affected are confidentiality, integrity, and availability.",The severity of this threat is high.,"The likelihood of this threat is also high, as it is a common vulnerability that can be easily exploited.",The relevant assets are files and directories located underneath the restricted parent directory.,The attack vector is through the construction of a pathname using external input.,The attacker type is anyone with access to the product and knowledge of the vulnerability.,The attacker motive is to gain unauthorized access to sensitive data.,"The relevant cyber controls/countermeasures include input validation and sanitization, as well as proper access controls and permissions.",Detection methods include monitoring for unusual file access patterns and unauthorized access attempts.,22
Command Injection,Constructing a command using externally-influenced input without proper sanitization,Execution of unintended commands or code on a downstream component,"Confidentiality, Integrity, Availability",High,High,Any system or application that accepts user input to construct commands,"Input fields, APIs, network protocols","External attackers, insiders","Gain unauthorized access, steal data, disrupt operations","Input validation and sanitization, command whitelisting, least privilege access control","Log analysis, anomaly detection, intrusion detection systems",77
Command Injection,The product constructs an OS command using externally-influenced input without proper validation or sanitization.,An attacker can execute arbitrary commands on the system with the privileges of the application or user running the command.,"Confidentiality, Integrity, Availability",High,Likely,The system running the vulnerable application.,"Input fields, parameters, or arguments that are used to construct OS commands.","External attackers, insiders, or anyone who can interact with the application.","Gain unauthorized access, steal data, disrupt operations, or cause damage.","Input validation and sanitization, using parameterized queries, and limiting privileges of the application or user running the command.",Monitoring system logs for suspicious commands or unexpected behavior.,78
Failure to neutralize user-controllable input,Incorrectly placing user input in web page output,Execution of malicious code on other users' browsers,"Confidentiality, integrity, availability",High,Likely,"Web application, user data","Input fields, cookies, HTTP headers","External attackers, malicious insiders","Data theft, website defacement, financial gain","Input validation, output encoding, secure coding practices","Web application firewalls, code review, penetration testing",79
SQL Injection,Constructing SQL commands using externally-influenced input without proper sanitization,"Unauthorized access to sensitive data, modification or deletion of data, and potentially complete compromise of the system","Confidentiality, integrity, and availability",High,Likely,Databases and applications that use SQL,"Input fields, cookies, HTTP headers, and other user-controlled data sources","External attackers, insiders, and automated bots","Stealing sensitive data, modifying or deleting data, and disrupting business operations","Input validation and sanitization, parameterized queries, stored procedures, and least privilege access controls","Log analysis, intrusion detection systems, and vulnerability scanners",89
The vulnerability is that the product does not properly neutralize special elements in externally-influenced input that could modify the syntax or behavior of the intended code segment.,The method used is constructing all or part of a code segment using externally-influenced input from an upstream component.,"The technical impact is that the product may execute unintended code or behave in unexpected ways, potentially leading to data loss, system compromise, or other security breaches.","The security properties affected are confidentiality, integrity, and availability.",The severity of this threat is high.,"The likelihood of this threat is also high, as it is a common mistake in software development.",The relevant assets are any systems or data that could be impacted by the unintended code execution or unexpected behavior.,The attack vector is through the externally-influenced input from an upstream component.,"The attacker type could be anyone with the ability to provide the externally-influenced input, such as a user or a malicious actor.","The attacker's motive could be to gain unauthorized access to sensitive data, disrupt system operations, or cause other harm.","The relevant cyber controls/countermeasures include input validation, output encoding, and secure coding practices.","Detection methods include code review, static analysis, and dynamic analysis.",94
Buffer Overflow,The product reads from or writes to a memory location outside of the intended boundary of the buffer.,"The technical impact of this vulnerability is that it can cause the product to crash, execute arbitrary code, or allow an attacker to gain control of the system.","The security properties affected by this vulnerability are confidentiality, integrity, and availability.",The severity of this vulnerability is high.,The likelihood of this vulnerability being exploited is high.,The relevant assets for this vulnerability are any systems or applications that use the product.,The attack vector for this vulnerability is through the product's input/output operations.,"The attacker types for this vulnerability are hackers, malicious insiders, and anyone with access to the product.","The attacker motives for this vulnerability are to gain unauthorized access to sensitive information, disrupt operations, or cause damage to the system.","The relevant cyber controls/countermeasures for this vulnerability are input validation, boundary checking, and memory protection mechanisms.","The detection methods for this vulnerability are through code review, penetration testing, and monitoring for abnormal system behavior.",119
Buffer overflow,Reading data past the end or before the beginning of a buffer,"Memory corruption, execution of arbitrary code, denial of service","Confidentiality, integrity, availability",High,High,"Software applications, systems, and devices","Input validation, boundary checking, and memory allocation","Malicious actors, hackers, and insiders","Stealing sensitive data, gaining unauthorized access, disrupting operations","Input validation, boundary checking, and memory protection mechanisms","Static and dynamic analysis, code review, and penetration testing",125
Integer overflow or wraparound,Performing a calculation that assumes the resulting value will always be larger than the original value,Can introduce other weaknesses when the calculation is used for resource management or execution control,Integrity and availability,High,High,Any system that performs calculations,Input validation and boundary checking,Malicious actors with knowledge of the system and its vulnerabilities,"Gain unauthorized access, disrupt operations, or steal sensitive information","Input validation and boundary checking, secure coding practices, and regular software updates","Code review, testing, and monitoring for unexpected behavior",190
Improper file permission settings during installation,"During installation, file permissions are set to allow anyone to modify those files","Attackers can modify the installed files, potentially leading to unauthorized access, data loss, or system compromise","Confidentiality, integrity, and availability",High,High,Installed software and associated data,Local or remote access to the system during installation,"Malicious insiders, external attackers, or attackers with access to the installation process","To gain unauthorized access, steal data, or compromise the system","Implementing the principle of least privilege, using secure installation procedures, and regularly reviewing file permissions","Monitoring file permissions and access logs, and using intrusion detection systems to detect unauthorized modifications",276
