20,Input Validation,Lack of or incorrect input validation,"Data corruption, data loss, system compromise","Confidentiality, Integrity, Availability",High,High,"Data, systems, applications","Input fields, APIs, network traffic","External, internal","Financial gain, espionage, sabotage","Input validation, data sanitization, error handling, access control","Log analysis, anomaly detection, penetration testing"
22,Improper Neutralization of Special Elements in Path (CWE-22),Constructing a pathname with external input,Unauthorized access to files or directories outside of the restricted parent directory,"Confidentiality, Integrity, Availability",High,High,Files and directories within the restricted parent directory,"Input fields, APIs, command-line interfaces","External attackers, insiders","Theft of sensitive data, sabotage, espionage","Input validation, access control, file system permissions, sandboxing","File system monitoring, log analysis, intrusion detection systems"
77,Command Injection,Constructing a command using externally-influenced input,Execution of unintended commands or code,"Confidentiality, Integrity, Availability",High,High,Systems that accept user input to construct commands,"Input fields, APIs, command-line interfaces","External attackers, insiders","Data theft, system compromise, disruption of service","Input validation, command whitelisting, sandboxing","Log analysis, anomaly detection, intrusion detection systems"
78,OS command injection,Constructing OS command using externally-influenced input,Execution of unintended OS commands,"Confidentiality, Integrity, Availability",High,High,Systems with vulnerable software,"Input fields, APIs, command-line interfaces","External attackers, insiders","Data theft, system disruption, privilege escalation","Input validation, parameterized queries, least privilege access control","Log analysis, anomaly detection, intrusion detection systems"
79,Failure to neutralize user-controllable input,Incorrect input handling,"Injection of malicious code, data leakage, unauthorized access","Confidentiality, Integrity, Availability",High,High,"Web applications, databases, user data","Input fields, forms, cookies, HTTP headers","External attackers, insiders","Data theft, sabotage, financial gain","Input validation, output encoding, secure coding practices, web application firewalls","Code review, vulnerability scanning, penetration testing"
89,CWE 89,Constructing SQL commands with externally-influenced input,Modification of intended SQL command,"Confidentiality, Integrity, Availability",High,High,"Databases, Applications","Input fields, APIs, Web forms","External, Internal","Data theft, Data manipulation, Denial of Service","Input validation, Parameterized queries, Stored procedures, Database permissions, Firewall","Log analysis, Intrusion detection systems, Penetration testing"
94,CWE 94,Constructing code segment with externally-influenced input without neutralizing special elements,Modification of syntax or behavior of intended code segment,"Confidentiality, Integrity, Availability",High,Likely,Software applications,"Input fields, APIs, network protocols","External attackers, insiders","Financial gain, espionage, sabotage","Input validation, output encoding, secure coding practices","Code review, penetration testing, intrusion detection systems"
119,Out-of-bounds read/write,Performing operations on a memory buffer,"Memory corruption, Denial of Service (DoS)","Confidentiality, Integrity, Availability",High,High,Memory buffers,"Input validation, Buffer overflow","External, Internal","Data theft, System compromise, DoS","Input validation, Bounds checking, Memory protection mechanisms","Code review, Fuzz testing, Runtime monitoring"
125,Buffer overflow,Reading data past the end or before the beginning of the intended buffer,"Memory corruption, execution of arbitrary code, denial of service","Confidentiality, integrity, availability",High,High,"Software applications, systems, networks","Input validation, network communication, file handling","Hackers, insiders, malware","Financial gain, espionage, sabotage","Input validation, boundary checking, memory protection, code signing, software updates","Code analysis, intrusion detection systems, log analysis"
190,Integer overflow or wraparound,Calculation,Resource management or execution control weaknesses,"Confidentiality, Integrity, Availability",High,Likely,"Software, systems, data","Input validation, buffer overflow","External, internal","Financial gain, espionage, sabotage","Input validation, boundary checks, secure coding practices","Code review, testing, monitoring for unexpected behavior"
