Topic,Count,Topic Words/Terms (Top 10),Proposed Parent Cluster to Merge,Count after Merge,Proposed Threat Description after Merge
/Cluster Label,,,,,
-1,136,{outliers},,,
0,35,'input' 'include' 'access' 'sensitive' 'data' 'information' 'product' 'affected' 'user' 'lead',,54,Missing or improper neutralisation
1,19,'product' 'case' 'input' 'products' 'inputs' 'component' 'data' 'special' 'include' 'special elements',0,,
2,15,'input' 'validation' 'regular expression' 'regular' 'expression' 'input validation' 'regular expressions' 'glyphs' 'expressions' 'cryptographic',,18,Improper input validation
3,14,'product' 'products' 'include' 'behavior' 'surface' 'sensitive' 'information' 'processed' 'used' 'access',,18,Insecure product configuration (incl. defaults)
4,14,'pointer' 'memory' 'buffer' 'null' 'null pointer' 'code' 'input' 'pointers' 'crashes' 'arbitrary code',,14,Insecure memory buffer (i.e. buffer overflow)
5,10,'session' 'web' 'authorization' 'web application' 'server' 'url' 'application' 'session management' 'activex' 'web server',,14,Improper session management
6,10,'password' 'passwords' 'authentication' 'login' 'accounts' 'attackers' 'user accounts' 'unauthorized access' 'hashing' 'user',,20,Weak implementation or configuration of password-based authentication
7,10,'authentication' 'password' 'accounts' 'user accounts' 'user' 'account' 'mechanism' 'authentication mechanism' 'access' 'unauthorized',6,,
8,9,'return' 'error' 'handler' 'software' 'return values' 'feature api' 'behavior' 'unexpected' 'api function' 'feature',,69,"Improper adherence to coding best practice (optimisation, error handling, exceptions, accidents, maintenance, style, formatting, complexity)"
9,9,'privilege' 'privileges' 'resources functionality' 'access' 'threat' 'resources' 'actions' 'unauthorized' 'privilege escalation' 'escalation',,14,Insufficient privilege management or compartmentalisation
10,9,'soc' 'device' 'electromagnetic' 'information' 'physical' 'threat' 'confidential' 'debug' 'confidential information' 'access',,14,Side channel and SoC threats
11,9,'captcha' 'challenge' 'key' 'access' 'cache' 'captcha challenge' 'case' 'unauthorized' 'incorrect tokens' 'tokens',,12,Insufficient or misconfigured access control
12,8,'error' 'handling' 'exceptions' 'error handling' 'code' 'handling code' 'conditions' 'exception' 'complex error' 'exception handling',8,,
13,8,'code' 'complexity' 'excessive' 'commentedout' 'commentedout code' 'bugs' 'quality' 'complex' 'introducing' 'complex code',8,,
14,8,'encryption' 'algorithm' 'communication' 'cryptographic algorithm' 'cryptographic' 'weaker' 'data' 'certificate' 'weaker encryption' 'certificates',,8,Missing authentication
15,7,'user' 'ui' 'interface' 'user interface' 'warning' 'actions' 'users' 'dangerous' 'dangerous function' 'function',,7,Error or feature omission in UI
16,7,'documentation' 'design' 'systemdependent' 'programs' 'systemdependent functionality' 'comprehensive' 'design documentation' 'lack' 'productspecific programs' 'productspecific',,14,Insufficient technical documentation
17,7,'performance' 'database' 'queries' 'table' 'query' 'data' 'excessive' 'data table' 'large' 'data accessesqueries',,7,"Improper adherence to database best practice (queries, indices, features etc)"
18,7,'isolation' 'rom' 'rom code' 'shared' 'shared resources' 'cpu instructions' 'cpu' 'instructions' 'hardware structures' 'securitycritical cpu',,32,Deficient hardware architecture/security features
19,7,'documentation' 'product' 'proper documentation' 'platforms' 'components' 'runtime support' 'support component' 'component' 'support' 'thirdparty components',16,,
20,7,'resource' 'resources' 'released' 'resource management' 'uninitialized' 'supporting' 'supporting resources' 'functionsmethods' 'temporary supporting' 'released resource',,24,Improper control of software resource through its lifetime
21,7,'permissions' 'files' 'file' 'objects' 'installation' 'installation process' 'object' 'process' 'installed' 'access',,7,Incorrect permission assignment for critical resource
22,6,'numbers' 'random' 'generated' 'random number' 'prng' 'algorithm' 'number' 'pseudorandom' 'number generator' 'generator',,16,Improperly configured or weak encryption
23,6,'data' 'nonces' 'mutable data' 'mutable' 'serialization' 'serialized' 'function' 'serializable' 'member elements' 'elements',8,,
24,5,'hardware' 'hardware design' 'register' 'hardware module' 'module' 'control register' 'design control' 'design' 'language code' 'description language',18,,
